generator,synth_years,ticker,mae,mse,directional_accuracy
gaussian,24.0,FNB,0.0040965243242681,2.6988573154085316e-05,0.4786324786324786
gaussian,24.0,FULT,0.0049079908058047,3.737954830285162e-05,0.5641025641025641
gaussian,24.0,ASB,0.0043502366170287,2.9840048227924857e-05,0.5641025641025641
gaussian,24.0,WBS,0.003305425401777,2.510982085368596e-05,0.6153846153846154
gaussian,24.0,MTB,0.0048506730236113,3.569174441508949e-05,0.4358974358974359
gaussian,24.0,ZION,0.0052396152168512,4.112081296625547e-05,0.5726495726495726
gaussian,24.0,BOH,0.0040624924004077,2.3453192625311203e-05,0.6666666666666666
gaussian,24.0,UBSI,0.0046442351303994,3.165366069879383e-05,0.4273504273504273
gaussian,24.0,CVBF,0.0042050979100167,2.634750308061484e-05,0.5299145299145299
gaussian,24.0,CBSH,0.0033719385974109,1.7444936020183377e-05,0.5726495726495726
gaussian,24.0,GBCI,0.0056421603076159,4.5393335312837735e-05,0.358974358974359
gaussian,5.0,BAC,0.0049667404964566,3.86575520678889e-05,0.5213675213675214
gaussian,5.0,WFC,0.0058943973854184,5.33224010723643e-05,0.4957264957264957
gaussian,5.0,JPM,0.0039815856143832,2.6786383386934176e-05,0.5470085470085471
gaussian,5.0,C,0.0053690052591264,4.5887190935900435e-05,0.5726495726495726
gaussian,5.0,HBAN,0.005526958964765,4.625527435564436e-05,0.4957264957264957
gaussian,5.0,USB,0.0046470845118165,3.2614032534183934e-05,0.5811965811965812
gaussian,5.0,TFC,0.005278683733195,4.3236970668658614e-05,0.5470085470085471
gaussian,5.0,KEY,0.004910138901323,3.807880784734152e-05,0.6068376068376068
gaussian,5.0,RF,0.0050253518857061,3.9985454350244254e-05,0.5299145299145299
gaussian,5.0,FITB,0.005765579175204,5.24175375176128e-05,0.5726495726495726
gaussian,5.0,VLY,0.0048212935216724,3.6055622331332415e-05,0.6239316239316239
gaussian,5.0,FHN,0.0044922186061739,3.0309705834952183e-05,0.6068376068376068
gaussian,5.0,PNC,0.0048439912497997,3.5052689781878144e-05,0.5897435897435898
gaussian,5.0,WAFD,0.0034363246522843,2.0404104361659847e-05,0.4017094017094017
gaussian,5.0,FNB,0.004075416829437,2.660349491634406e-05,0.5213675213675214
gaussian,5.0,FULT,0.0048904381692409,3.703827678691596e-05,0.5641025641025641
gaussian,5.0,ASB,0.0043159686028957,2.9535491194110364e-05,0.5641025641025641
gaussian,5.0,WBS,0.0033143407199531,2.532625694584567e-05,0.6153846153846154
gaussian,5.0,MTB,0.0047611738555133,3.4831289667636156e-05,0.5641025641025641
gaussian,5.0,ZION,0.0051758489571511,4.034044832224026e-05,0.5726495726495726
gaussian,5.0,BOH,0.0041120904497802,2.383910759817809e-05,0.6666666666666666
gaussian,5.0,UBSI,0.0045463885180652,3.0121640520519577e-05,0.4273504273504273
gaussian,5.0,CVBF,0.0042024827562272,2.6298692318960093e-05,0.5299145299145299
gaussian,5.0,CBSH,0.0033332163002341,1.7658414435572922e-05,0.5726495726495726
gaussian,5.0,GBCI,0.0055526965297758,4.472368163987994e-05,0.6324786324786325
gaussian,1.0,BAC,0.0049644974060356,3.8573460187762976e-05,0.5213675213675214
gaussian,1.0,WFC,0.0058968714438378,5.347974365577102e-05,0.4957264957264957
gaussian,1.0,JPM,0.0040228660218417,2.7347496143192984e-05,0.5470085470085471
gaussian,1.0,C,0.0053730607032775,4.594313213601709e-05,0.5726495726495726
gaussian,1.0,HBAN,0.0055185086093842,4.610840915120207e-05,0.4957264957264957
gaussian,1.0,USB,0.0046495446003973,3.266442217864096e-05,0.5811965811965812
gaussian,1.0,TFC,0.0052883722819387,4.321066080592573e-05,0.5470085470085471
gaussian,1.0,KEY,0.0048808576539158,3.790951450355351e-05,0.6068376068376068
gaussian,1.0,RF,0.0050263390876352,3.999436739832163e-05,0.5299145299145299
gaussian,1.0,FITB,0.0057848212309181,5.254174902802333e-05,0.5726495726495726
gaussian,1.0,VLY,0.0049308082088828,3.735665814019739e-05,0.376068376068376
