generator,synth_years,ticker,mae,mse,directional_accuracy
noise,10.0,WFC,0.0137135768309235,0.0003143248613923,0.5409836065573771
noise,10.0,JPM,0.0116195399314165,0.0002383402024861,0.5081967213114754
noise,10.0,C,0.0149205895140767,0.0004066646215505,0.5573770491803278
noise,10.0,HBAN,0.0133447339758276,0.0003074259147979,0.5
noise,10.0,USB,0.0107588237151503,0.0002039497921941,0.5409836065573771
noise,10.0,TFC,0.0114631857722997,0.0002196897694375,0.5491803278688525
noise,10.0,KEY,0.0117147481068968,0.0002269861142849,0.5245901639344263
noise,10.0,RF,0.0118440110236406,0.0002447437436785,0.5819672131147541
noise,10.0,FITB,0.0130003374069929,0.000305910652969,0.5081967213114754
noise,10.0,VLY,0.0123615581542253,0.0002719197655096,0.5327868852459017
noise,10.0,FHN,0.0112919462844729,0.0002328524424228,0.5245901639344263
noise,10.0,PNC,0.0107739539816975,0.0002030827017733,0.5081967213114754
noise,10.0,WAFD,0.0103109562769532,0.0002398576471023,0.4590163934426229
noise,10.0,FNB,0.0113141424953937,0.0002397249627392,0.5163934426229508
noise,10.0,FULT,0.0126143600791692,0.0002778452762868,0.5409836065573771
noise,10.0,ASB,0.0121341319754719,0.0002528476761654,0.5245901639344263
noise,10.0,WBS,0.0094982404261827,0.0001937827037181,0.5081967213114754
noise,10.0,MTB,0.0107794739305973,0.0001890058483695,0.5327868852459017
noise,10.0,ZION,0.0124500207602977,0.000284249195829,0.5737704918032787
noise,10.0,BOH,0.0117662269622087,0.0002363632520427,0.4754098360655737
noise,10.0,UBSI,0.009970529936254,0.0001925809483509,0.5081967213114754
noise,10.0,CVBF,0.0119005125015974,0.0002389496512478,0.5081967213114754
noise,10.0,CBSH,0.0098590403795242,0.000190851962543,0.5245901639344263
noise,10.0,GBCI,0.0134980985894799,0.000319825077895,0.5491803278688525
noise,5.0,BAC,0.0109968688338994,0.0002060383412754,0.5573770491803278
noise,5.0,WFC,0.0137243624776601,0.000312972057145,0.5409836065573771
noise,5.0,JPM,0.0116028357297182,0.0002369989815633,0.5081967213114754
noise,5.0,C,0.0149385994300246,0.0004071501025464,0.5573770491803278
noise,5.0,HBAN,0.0133433928713202,0.0003073535044677,0.5
noise,5.0,USB,0.0107742017135024,0.0002041974948951,0.5409836065573771
noise,5.0,TFC,0.011449503712356,0.0002198317815782,0.5491803278688525
noise,5.0,KEY,0.011721764691174,0.0002271611156174,0.5245901639344263
noise,5.0,RF,0.01192291919142,0.0002444194687996,0.5819672131147541
noise,5.0,FITB,0.0130002675577998,0.0003059115551877,0.5081967213114754
noise,5.0,VLY,0.0123681481927633,0.0002721995697356,0.5327868852459017
noise,5.0,FHN,0.0112968115136027,0.0002328971168026,0.5245901639344263
noise,5.0,PNC,0.0107739558443427,0.0002036548394244,0.5081967213114754
noise,5.0,WAFD,0.010314074344933,0.000239931163378,0.4590163934426229
noise,5.0,FNB,0.0113020502030849,0.0002390624431427,0.5163934426229508
noise,5.0,FULT,0.0126335714012384,0.000278461491689,0.5409836065573771
noise,5.0,ASB,0.0121370777487754,0.0002528995100874,0.5245901639344263
noise,5.0,WBS,0.0094840340316295,0.0001942541566677,0.5081967213114754
noise,5.0,MTB,0.0107825063169002,0.0001890326529974,0.5327868852459017
noise,5.0,ZION,0.0124491769820451,0.0002842473331838,0.5737704918032787
