family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
cnn,0.5,0.01,5e-05,128,,0.22363119944930077,0.22363119944930077,1.0,0.9952626208908644,400.0,2305.0,0.03763478495395041,0.27149492502212524,4,176.4,8,8.0,True,5.0,,
rnn,0.5,0.0001,0.0005,16,,0.012973543955013156,0.012977455509826541,1.0003330638057921,0.9410120701694871,268.75,16449.0,0.0026286754121499683,0.0168985053896904,4,444.0,,100.0,,,32,0.2
dense,0.3,0.0001,5e-05,128,64,0.023183068726211786,0.023184047546237707,1.0000350617964997,1.199053658431563,400.0,193689.0,0.004031500147978627,0.02791699580848217,4,182.1,,,,,,
cnn,0.0,0.0001,0.001,32,,0.012948920950293541,0.012955850223079324,1.0005638650767943,0.9398867272725001,205.0,8985.0,0.00264189543651503,0.016902875155210495,4,113.3,32,16.0,True,5.0,,
rnn,0.6,0.0001,0.0001,16,,0.013435638975352049,0.013435638975352049,1.0,0.9448321730404449,400.0,15129.0,0.002634535963651832,0.01708894595503807,4,1150.5,,32.0,,,32x16,0.3
dense,0.5,0.01,0.001,32,16,0.012949601979926229,0.01295575243420899,1.0004684986579333,0.9399132014516706,253.25,48441.0,0.002641178663683929,0.016902271658182144,4,124.6,,,,,,
cnn,0.6,0.0,5e-05,16,,0.012979049934074283,0.012989777838811278,1.0008799424140673,0.938654122314613,78.25,16609.0,0.0026365461227265278,0.016914231702685356,4,65.2,8x16,64.0,False,3.0,,
rnn,0.3,0.0,0.001,16,,0.012935495469719172,0.012976548168808222,1.0031313063738692,0.9372024772170153,68.0,7001.0,0.002596436341529504,0.016814952716231346,4,83.3,,64.0,,,16,0.0
dense,0.5,1e-05,0.0003,32,64,0.014169387985020876,0.01440890459343791,1.016776065068075,1.0328907033246932,117.25,193689.0,0.002946620444154838,0.01851561665534973,4,75.5,,,,,,
cnn,0.2,0.01,0.0005,32,,0.012951486743986607,0.012953504454344511,1.0001479838426746,0.9404308258330644,282.5,100257.0,0.002641371538723892,0.016904238611459732,4,156.6,32,100.0,False,3.0,,
rnn,0.5,0.001,0.0003,64,,0.013889283873140812,0.013889519032090902,1.000020269690439,0.9474954372357299,400.0,17985.0,0.002823804126836627,0.017166394740343094,4,501.9,,100.0,,,32x16,0.3
dense,0.3,0.01,0.0005,128,16x8,0.03154989192262292,0.03154989192262292,1.0,0.9628031490002533,400.0,48377.0,0.022562141562760863,0.06425429880619049,4,170.5,,,,,,
cnn,0.1,0.01,0.001,16,,0.012970259180292487,0.012977382633835077,1.0005261447679048,0.9396800615194227,130.75,6433.0,0.002629771968704061,0.01689804531633854,4,94.5,8x16,64.0,True,7.0,,
rnn,0.5,0.1,3e-05,128,,4.716021656990051,4.716021656990051,1.0,0.9992733657658075,400.0,2185.0,0.43521657448616696,5.261727333068848,4,206.0,,8.0,,,8,0.0
dense,0.6,1e-05,5e-05,128,8,0.013294514501467347,0.013319399440661073,1.0019630357485578,0.9457346197144043,96.0,24233.0,0.0026849533518701935,0.017312178388237953,4,56.7,,,,,,
cnn,0.4,0.01,0.0001,32,,0.07168501289561391,0.07168501289561391,1.0,0.9574469613323956,400.0,18377.0,0.07111720288163442,0.17294441163539886,4,221.2,16x32x64,16.0,True,5.0,,
rnn,0.0,0.1,0.0003,64,,0.08211474935524166,0.08211474935524166,1.0,0.937898531983092,400.0,35225.0,0.12309262853406958,0.2658140957355499,4,409.1,,64.0,,,64,0.3
dense,0.6,0.0001,0.0005,32,128,0.014134072232991457,0.01456060353666544,1.028961032775087,1.3364257206457406,192.0,387353.0,0.002981556935932553,0.018598541617393494,4,112.1,,,,,,
cnn,0.3,0.001,0.001,128,,0.012969402596354485,0.012972680851817131,1.0002752248340696,0.9403741400092283,347.25,51441.0,0.002641515181116214,0.016923218965530396,4,159.5,16,100.0,False,7.0,,
rnn,0.1,0.1,5e-05,16,,0.6208379482850432,0.6208379482850432,1.0,0.9649461781697071,400.0,133209.0,0.9070037085645861,1.9573473930358887,4,2454.6,,32.0,,,64x128,0.3
dense,0.6,0.001,5e-05,128,64x32,0.07898272946476936,0.07898272946476936,1.0,0.9928552609956862,400.0,194969.0,0.02595309877376893,0.11441119015216827,4,173.2,,,,,,
cnn,0.5,0.1,3e-05,64,,4.816039562225342,4.816039562225342,1.0,0.998053546110991,400.0,19193.0,1.63381654110575,6.860570907592773,4,183.2,16x32x64,8.0,False,5.0,,
