family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,noise_dist,df,shrinkage_alpha,shrinkage_target,marginal,rotation,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
rbig,,,3.056395564915437e-05,0.0278704027765178,0.4179866568227557,1.0,0.9701299699808345,4.3223960598803886e-05,3.6,,40.0,300.0,,,,,,,,,,,,,
noise,0.01,True,0.0,0.0321135294480094,0.3658764970635951,1.0,1.0711615315172418,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0553407283228216,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.002007881206458,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0004023147354429,0.0329224257777385,0.4346094423740692,1.0,0.9704830924862772,0.0005689589552059,2.8,,30.0,300.0,,,,,,,,,,,,,
noise,0.3,True,0.0029910814297673,0.079012259579527,0.3724492836175664,1.0,1.119485537281879,0.0002831722849275,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.051952019601705,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0047937174226624,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0009173831689056,0.0470221575952407,0.5616366474623322,1.0,0.9977889696570524,0.000316579869901,1.6,,15.0,1000.0,,,,,,,,,,,,,
noise,0.01,False,0.1157430396718965,0.4484258533407843,0.6095750456775739,1.0,1.5172983389404626,1.2629887786159188e-05,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0555699267997847,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.000880159482696,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0027089447887906,0.0778311389749598,0.6664893427687671,1.0,1.1009395530611914,0.0010441803351023,1.2,,10.0,600.0,,,,,,,,,,,,,
noise,0.02,False,0.2795021595594151,1.0963564357975066,0.9577209176383332,1.0,2.264756446926662,0.0023391235159566,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0579290378008945,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0021909304540731,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0004988435588006,0.0460898887812715,0.5450088960582814,1.0,0.9723276420531112,3.278512417833662e-05,1.5,,15.0,400.0,,,,,,,,,,,,,
noise,0.2,False,0.3812494193951961,13.27374402748999,1.388323780767402,1.0,17.890424771384172,0.0006379291653783,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0522163766512094,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0046939649269907,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0034752622326904,0.0834488419596912,0.7687501239222692,1.0,1.0897095200488425,0.0011015741442272,0.8,,5.0,300.0,,,,,,,,,,,,,
noise,0.02,False,0.2749877646232046,1.0963564357975066,0.9577209176383332,1.0,2.264756446926662,0.003324619429637,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0551512850451033,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0050605182950641,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0012582381959221,0.0678337049209206,0.6228308558774804,1.0,1.0019830869225372,5.602915328578e-05,1.1,,10.0,100.0,,,,,,,,,,,,,
noise,0.05,True,0.0,0.0325457540883223,0.3646728229449607,1.0,1.072505761157302,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0559764022832932,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0033726539849552,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0,0.0293163019456506,0.3993780131702692,1.0,0.9843104824729954,0.0,5.2,,60.0,600.0,,,,,,,,,,,,,
noise,0.3,False,0.3824429486023393,20.05748955931103,1.3921240331841729,1.0,26.686016520274627,0.0006236632775136,0.6,,,,,,,,,,,,,,,,
gaussian,,,0.0587502616003421,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0005187330402592,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0,0.0278704027765178,0.4179866568227557,1.0,0.9701299699808345,0.0,3.2,,40.0,300.0,,,,,,,,,,,,,
noise,0.5,True,0.0165596575389737,0.1655105031360488,0.443157532213995,1.0,1.1985912427353451,0.0002399377598385,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0555041845557688,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0050169652570246,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0015569057677187,0.0816138255010448,0.6684929865372866,1.0,1.134063498987134,0.0004341206346133,1.2,,10.0,1000.0,,,,,,,,,,,,,
noise,0.3,True,0.0032223235547291,0.079012259579527,0.3724492836175664,1.0,1.119485537281879,0.0015527029978539,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0478201764969937,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0042872036668488,0.5,False,,,,,,,,,,,,,,,
rbig,,,5.941108120077754e-06,0.0406654656272526,0.4364318333695737,1.0,0.9811741604102572,8.401995678938881e-06,2.0,,20.0,400.0,,,,,,,,,,,,,
noise,0.5,True,0.0197461359907773,0.1655105031360488,0.443157532213995,1.0,1.1985912427353451,0.0020411854100593,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0566644355051348,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0018723050620346,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0009110220376003,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,0.0005225386570518,1.7,,20.0,100.0,,,,,,,,,,,,,
noise,0.05,False,0.3696686472765667,3.110154056851544,1.284352345325244,1.0,4.769962407682058,0.0005099554323644,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0542379073697798,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0071415446739553,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0029735393699896,0.0931113574050988,0.7643451474132419,1.0,1.1787933416981384,0.0001267263970996,0.9,,5.0,1000.0,,,,,,,,,,,,,
