family,n_iters,grid_size,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,sigma,relative,noise_dist,df,shrinkage,shrinkage_alpha,shrinkage_target,marginal,rotation
gan,,,0.23717338512497932,0.6091145482899079,1.8870982168727743,1.0,0.6091159638587064,,218.7,4.0,1500.0,256.0,64x64,128x64,0.0005,1.0,,,,,,,,,
gan,,,1.1029411084562226,2.227789225209515,3.1076015420809906,1.0,0.40504391794834105,,219.4,8.0,1500.0,128.0,64x128x64,64x32,0.001,1.0,,,,,,,,,
gan,,,0.6017081383305268,0.9691756033193499,3.5450616089326634,1.0,0.3615017626659408,,553.7,32.0,1500.0,256.0,32x64x32,16x8,0.001,3.0,,,,,,,,,
gan,,,0.3431531778806028,1.3653203830990575,3.6614338255767644,1.0,0.9322807681403866,,214.0,64.0,1500.0,256.0,64x64,64x64,0.001,1.0,,,,,,,,,
gan,,,0.13848990107696724,0.4659981094061676,1.1502888601195191,1.0,0.6682184862587528,,205.7,16.0,800.0,128.0,64x128x64,64x32,5e-05,2.0,,,,,,,,,
gan,,,0.032295225813469,0.2042168334914841,0.5405993600102228,1.0,0.8280521732827975,,173.4,64.0,500.0,64.0,32x32,128x64,0.001,3.0,,,,,,,,,
gan,,,0.9874654144138418,1.5908360848081948,3.954626107042944,1.0,0.3869939006079317,,290.1,16.0,1200.0,32.0,64x128x64,64x64,0.0005,2.0,,,,,,,,,
gan,,,0.3871126421951194,0.766634270173857,1.0731348530462492,1.0,0.5869160290089157,,108.4,32.0,800.0,32.0,32x32,64x32,0.0005,1.0,,,,,,,,,
gan,,,0.08083410136206559,0.32790586702877417,2.3726073654249014,1.0,0.6926468814827312,,217.1,4.0,1500.0,64.0,16x32x16,64x64,0.0005,1.0,,,,,,,,,
gan,,,1.0444243161639004,3.950626935313587,1.7915043754906788,1.0,0.3974737149498539,,187.0,32.0,800.0,32.0,128x128,16x8,0.0001,2.0,,,,,,,,,
gan,,,0.1805559875085999,0.564749003297727,1.6310617624688746,1.0,0.7343683503306715,,178.9,4.0,1200.0,256.0,16x32x16,64x64,5e-05,1.0,,,,,,,,,
gan,,,0.9779074033292766,1.5643305748600513,4.231589780117845,1.0,0.48700893411425367,,533.1,64.0,1500.0,64.0,64x128x64,32x16,0.001,3.0,,,,,,,,,
gan,,,0.5166380603760533,0.9561326217112363,3.2431389745965693,1.0,0.6455421815885667,,45.6,4.0,300.0,256.0,64x128x64,64x64,2e-05,1.0,,,,,,,,,
gan,,,0.33754843225509745,0.6885933005974081,1.986627715072791,1.0,0.4597095291761721,,43.0,64.0,300.0,64.0,32x64x32,32x16,0.001,1.0,,,,,,,,,
gan,,,0.10916061659306797,0.4895087684004891,0.7371331572407162,1.0,1.028316708902739,,100.8,4.0,300.0,32.0,32x64x32,128x64,0.0001,3.0,,,,,,,,,
gan,,,0.14737030292061382,0.6102280581631209,2.265542147590599,1.0,1.2329519223542604,,170.9,64.0,500.0,32.0,16x32x16,128x64,5e-05,3.0,,,,,,,,,
gan,,,0.2644711332706703,0.6209059834335493,1.1902612025174961,1.0,0.35577262969409323,,202.4,16.0,800.0,64.0,64x128x64,64x64,0.0003,2.0,,,,,,,,,
gan,,,0.3136052109514429,0.6704350006741583,1.152620368304166,1.0,0.6059682909075083,,281.5,64.0,800.0,64.0,64x128x64,128x64,0.0001,3.0,,,,,,,,,
gan,,,0.3496262524650877,0.738589116585134,2.3933537117235004,1.0,0.536311851947579,,288.4,64.0,1200.0,32.0,32x64x32,16x8,0.0003,2.0,,,,,,,,,
gan,,,0.40790127278020416,0.8660090423826532,1.8772382812299986,1.0,0.8239870699167202,,133.9,16.0,500.0,256.0,16x32x16,64x64,2e-05,2.0,,,,,,,,,
gan,,,0.11840767371348537,0.3409099222823547,2.062923211616881,1.0,0.8928219718785652,,172.8,16.0,500.0,32.0,32x64x32,128x64,0.0005,3.0,,,,,,,,,
gan,,,0.3972228391932332,1.229080480452797,1.042041388898051,1.0,1.0445945462423303,,44.1,32.0,300.0,256.0,128x128,64x64,5e-05,1.0,,,,,,,,,
