family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
gan,,,0.37110676931068376,1.471843857451661,1.4777054680663815,1.0,1.2300958564177573,,122.5,,,,16.0,800.0,256.0,16x32x16,32x16,5e-05,1.0
gan,,,0.6234838622247916,2.9618013587059493,2.4224808998609757,1.0,0.9947275014850863,,421.2,,,,16.0,1200.0,128.0,128x128,16x8,2e-05,3.0
gan,,,0.06110068161490023,0.3365758249973688,0.9209424063141727,1.0,0.6413468257348707,,71.1,,,,64.0,500.0,256.0,32x32,64x32,0.0003,1.0
gan,,,0.35664371510323956,1.0763273080610454,2.2278009322958203,1.0,1.0055054451578815,,283.6,,,,16.0,1200.0,32.0,128x128,32x16,5e-05,2.0
gan,,,0.09937283519309381,0.3587139921220426,0.8923697001165475,1.0,0.6368961898552847,,397.9,,,,64.0,1200.0,32.0,64x64,64x32,0.0003,3.0
gan,,,0.025446681273156635,0.2033591359047878,0.6136421416323963,1.0,0.8396870591659266,,407.1,,,,8.0,1200.0,32.0,32x32,64x64,0.0003,3.0
gan,,,0.5243082339147808,0.8038577507094452,1.5935067207185512,1.0,0.4996034996771426,,70.1,,,,32.0,500.0,128.0,128x128,128x64,0.0003,1.0
gan,,,0.2623253383114177,0.8671224642715536,2.409114162607455,1.0,1.157225789470332,,122.9,,,,32.0,500.0,64.0,16x32x16,64x64,2e-05,2.0
gan,,,0.4207275244635804,0.7268368353567225,2.398544270748787,1.0,0.11016770515320107,,217.5,,,,16.0,1500.0,128.0,32x64x32,32x16,0.001,1.0
gan,,,0.4032931029626291,0.8138262247169588,1.1899237754677074,1.0,0.5713859614008113,,178.9,,,,8.0,1200.0,128.0,32x64x32,128x64,0.0001,1.0
gan,,,0.10866572654122397,0.5579554781664683,1.6916111617652845,1.0,1.0337017133418822,,106.2,,,,4.0,800.0,32.0,32x32,128x64,2e-05,1.0
gan,,,0.04954361421569997,0.3010155279868364,1.1240047178276507,1.0,0.6989545769872653,,394.8,,,,8.0,1500.0,256.0,32x64x32,64x64,0.0001,2.0
gan,,,0.020070376133101475,0.23104806640518039,0.7184137930170245,1.0,0.9607888383368909,,134.3,,,,8.0,500.0,256.0,16x32x16,64x64,0.0001,2.0
gan,,,0.46843905862188784,1.1452419016835071,3.3167585156375035,1.0,0.7884515917036116,,204.4,,,,64.0,800.0,256.0,128x128,64x32,0.001,2.0
gan,,,0.34670144159077854,0.9366484680649846,1.9990476344706718,1.0,1.0147160268131747,,114.4,,,,4.0,800.0,64.0,64x128x64,128x64,2e-05,1.0
gan,,,0.09569798427917009,0.44479859898140683,1.8057511353500886,1.0,0.9047397806439523,,120.0,,,,8.0,500.0,64.0,64x64,64x32,5e-05,2.0
gan,,,0.36147995962784185,0.7492505254100166,1.6092062852228515,1.0,0.32413097706367633,,75.4,,,,64.0,300.0,128.0,32x64x32,16x8,0.001,2.0
gan,,,0.44512704942772297,0.8732390771879084,2.4963740187053807,1.0,0.5900658142864769,,109.3,,,,32.0,800.0,64.0,128x128,128x64,0.001,1.0
gan,,,0.24946249552826974,0.8059071600059532,1.5683649616039594,1.0,1.381345579366109,,181.9,,,,16.0,500.0,256.0,64x64,64x32,2e-05,3.0
