family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
rnn,0.4,0.1,0.0005,128,,0.1256049945950508,0.1256049945950508,0.1293117105960846,399.0,400.0,1.0,0.9713304434623621,14457.0,0.00222208675874444,251.5,,16.0,,,32x16,0.0
dense,0.6,1e-05,0.001,128,16,0.011582181168099245,0.011582749585310618,0.014313198936482271,396.3333333333333,400.0,1.0000490757142904,0.8091958595647996,48441.0,7.694113056460117e-07,140.9,,,,,,
cnn,0.0,0.01,0.0003,64,,0.01617683842778206,0.01617683842778206,0.018941570073366165,399.0,400.0,1.0,0.8540278275537796,4377.0,0.00020682606601007256,155.1,16,8.0,True,5.0,,
rnn,0.0,0.0001,0.001,64,,0.011604835279285908,0.011705038448174795,0.014228506945073605,128.66666666666666,169.66666666666666,1.00863891901194,0.8156051152019757,35225.0,2.1733802213690323e-05,177.2,,64.0,,,64,0.1
dense,0.1,0.0001,5e-05,128,128,0.025908715402086575,0.025908715402086575,0.018701753268639248,399.0,400.0,1.0,1.385556069550856,387353.0,0.0008612139881719987,155.9,,,,,,
cnn,0.0,0.0001,3e-05,64,,0.01668778123954932,0.01668778123954932,0.019329596931735676,399.0,400.0,1.0,0.8632712148962439,10185.0,0.0003944128688371394,163.5,16x32,16.0,True,7.0,,
rnn,0.3,0.1,0.001,16,,0.011519666450719038,0.011525020313759645,0.01427552755922079,82.0,123.0,1.00046478694009,0.8069520683897146,35225.0,2.3129711298087516e-06,161.6,,64.0,,,64,0.0
dense,0.4,0.0001,0.001,16,64,0.011807677956918875,0.012439938572545847,0.013674575214584669,28.0,69.0,1.0534027686807326,0.8635873412746661,193689.0,0.00013787119772658892,55.9,,,,,,
cnn,0.6,0.001,0.0005,16,,0.01151659774283568,0.011517899421354135,0.014257843295733133,125.0,166.0,1.0001130161101481,0.8077377116077029,11721.0,3.3240143906388722e-06,101.9,32,8.0,True,7.0,,
rnn,0.0,0.01,5e-05,128,,0.5451917052268982,0.5451917052268982,0.5483235319455465,399.0,400.0,1.0,0.9942880530462145,3001.0,0.0065548452342207185,198.3,,32.0,,,8,0.3
dense,0.1,0.001,0.0001,32,64x32,0.0177813774595658,0.01781668576101462,0.013816433648268381,398.3333333333333,400.0,1.0020082935871804,1.2871963965650806,194969.0,0.0001935653780780392,175.8,,,,,,
cnn,0.5,0.1,0.0001,16,,0.01151377521455288,0.011514099935690561,0.014244417349497477,351.0,387.3333333333333,1.0000282073912332,0.8083008885888003,17057.0,3.144028594424748e-06,202.7,32,100.0,True,7.0,,
rnn,0.2,0.01,0.0005,32,,0.011514852133889994,0.011516029636065165,0.014246965448061625,245.33333333333334,286.3333333333333,1.0001022679488798,0.8082319110959483,133209.0,3.2004667320956975e-06,1092.6,,32.0,,,64x128,0.1
dense,0.0,0.001,3e-05,32,64,0.027221594626704853,0.027221594626704853,0.022058456515272457,399.0,400.0,1.0,1.2341060445376673,193689.0,0.00022987154879644395,173.9,,,,,,
cnn,0.2,0.0001,3e-05,64,,0.01632147716979186,0.01632147716979186,0.01903875358402729,399.0,400.0,1.0,0.8572703982106519,7945.0,0.00016822363042369315,163.0,8x16,100.0,True,7.0,,
rnn,0.1,0.1,3e-05,32,,3.660799582799276,3.660799582799276,3.671008268992106,399.0,400.0,1.0,0.9972191094342514,14121.0,0.006793931512714427,712.1,,8.0,,,32x16,0.1
dense,0.6,0.1,0.0003,128,64x32,0.375901202360789,0.375901202360789,0.3809675971666972,399.0,400.0,1.0,0.9866938026822307,194969.0,0.01473841740420801,151.6,,,,,,
cnn,0.3,1e-05,0.0001,16,,0.012677756138145924,0.01283079075316588,0.012503551319241524,188.33333333333334,229.33333333333334,1.0119443086626216,1.01991437839901,27033.0,0.00021005968008714279,128.4,8,100.0,False,7.0,,
rnn,0.2,1e-05,5e-05,32,,0.011881413248678049,0.011881434048215548,0.014580977149307728,398.6666666666667,400.0,1.0000017541924937,0.814855130925681,15129.0,4.920877800564594e-05,712.5,,32.0,,,32x16,0.2
dense,0.5,0.001,0.0005,64,64,0.014904298819601536,0.015067965102692446,0.012798167765140533,231.66666666666666,272.6666666666667,1.0109836227535944,1.1646397157573027,193689.0,1.7493112541214995e-05,116.9,,,,,,
cnn,0.4,0.01,5e-05,16,,0.012095924777289232,0.012095924777289232,0.01483548122147719,399.0,400.0,1.0,0.8153372492270705,33801.0,2.695618396967113e-05,208.7,16,64.0,False,3.0,,
rnn,0.6,0.01,0.0005,64,,0.011656183128555616,0.011656183128555616,0.014387309551239014,399.0,400.0,1.0,0.810170939446214,5657.0,1.9057760350927173e-05,417.5,,16.0,,,16x8,0.3
dense,0.5,0.01,0.0005,64,128,0.011513535554210344,0.011515014804899693,0.01424385979771614,281.0,322.0,1.0001284798193428,0.8083157054479654,387353.0,3.324605232277309e-06,142.1,,,,,,
cnn,0.4,0.1,5e-05,128,,12.030032475789389,12.030032475789389,12.064728736877441,399.0,400.0,1.0,0.9971241315561158,193025.0,0.06340683844168878,211.7,64x128x128,100.0,False,5.0,,
rnn,0.5,0.01,0.001,128,,0.01156324769059817,0.011563278424243132,0.014294956810772419,398.3333333333333,400.0,1.0000026588651802,0.8089039876389302,11113.0,4.254223652588558e-06,251.2,,8.0,,,32,0.3
dense,0.6,0.0,0.0001,128,64,0.011546578258275986,0.011575355815390745,0.01408567993591229,34.0,75.0,1.0024938573523154,0.8197460244183207,193689.0,2.671506431826613e-05,50.6,,,,,,
cnn,0.3,0.001,0.0003,64,,0.011588046016792456,0.011588046016792456,0.014317415344218412,399.0,400.0,1.0,0.8093670821046217,9489.0,1.0552857531576772e-05,154.5,8,32.0,False,3.0,,
rnn,0.2,0.1,3e-05,64,,4.544712066650391,4.544712066650391,4.551421006520589,399.0,400.0,1.0,0.9985257899831935,4649.0,0.08425858757977973,212.5,,8.0,,,16,0.1
dense,0.2,0.0,3e-05,16,16,0.011635225887099901,0.01170246551434199,0.01411375186095635,21.666666666666668,62.666666666666664,1.0057780701353316,0.824404014350792,48441.0,3.666208664658867e-05,37.7,,,,,,
cnn,0.6,0.0001,0.0005,16,,0.01151629692564408,0.011518171057105064,0.014257791452109814,170.66666666666666,211.66666666666666,1.0001627378337428,0.8077195462893537,147833.0,3.026886101591327e-06,132.8,64x128x128,16.0,False,5.0,,
rnn,0.0,1e-05,0.0001,64,,0.012174895343681177,0.012192814300457636,0.014499387393395105,213.66666666666666,254.66666666666666,1.0014715925383741,0.8396779759089014,30905.0,7.730653595679931e-05,132.9,,16.0,,,64,0.0
