family,sigma,relative,noise_dist,df,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,shrinkage_alpha,shrinkage_target,marginal,n_iters,grid_size,rotation
gaussian,,,,,0.049948459378514276,0.22871284192527702,1.0141071101784538,1.0,0.9879370575434129,0.0010194617088596443,0.3,False,0.74439,diagonal,gaussian,,,
rbig,,,,,5.185015253805769e-05,0.03601382530932254,0.19865803248733524,1.0,0.8864306433730722,7.332718893043495e-05,5.6,,,,,20.0,300.0,random
noise,0.31229,True,normal,0.0,0.004463284736779205,0.06677973056473085,0.33861150634451764,1.0,1.076374417104701,0.0011498328264539395,0.3,,,,,,,
gaussian,,,,,0.04957995842735091,0.2282126893877472,0.3104798198022414,1.0,0.9875325963212229,0.009276267432656698,0.3,False,0.17374,diagonal,gaussian,,,
rbig,,,,,0.0,0.022692769516086127,0.18555644754927256,1.0,0.9146314291024817,0.0,7.3,,,,,25.0,600.0,pca
noise,0.08592,True,normal,0.0,0.00011116742458766593,0.02261344262445595,0.33106646880711754,1.0,1.033193791773467,0.00015721447954596544,0.3,,,,,,,
gaussian,,,,,0.009110808639313295,0.018895174104442726,1.12453673231902,1.0,0.9904693361911676,3.220556148057691e-05,0.6,False,0.76975,diagonal,rank_gauss,,,
noise,0.01563,True,normal,0.0,0.00034962562431650746,0.021131271001657865,0.3321626964361803,1.0,1.0296669286458229,0.0004944452996615655,0.3,,,,,,,
gaussian,,,,,0.0596784207718179,0.2856217606738255,0.2714094364369973,1.0,1.0662172187118109,0.0018540806664072036,0.3,True,0.10124,identity,gaussian,,,
rbig,,,,,0.0003658557559294562,0.0277472299472067,0.18403614800278456,1.0,0.9702971392891389,0.0005173981719076978,4.7,,,,,15.0,1500.0,pca
noise,0.13649,False,student_t,10.0,0.3835514249561055,8.05981156679742,1.3418237041322478,1.0,11.429153725186293,0.0036129075194255124,0.3,,,,,,,
gaussian,,,,,0.11348981707298414,0.40175243625116386,0.6172449069850702,1.0,1.2102131877599411,0.00780348744621488,0.3,True,0.36639,identity,gaussian,,,
rbig,,,,,0.00011466712549917935,0.04029343810965744,0.1750472077118491,1.0,0.8394560248572528,1.0485151838784956e-05,4.1,,,,,15.0,100.0,pca
noise,0.1075,True,normal,0.0,0.0005971348306651469,0.023836412265410493,0.33058158508687857,1.0,1.0352438644994146,0.0008444761760920123,0.3,,,,,,,
gaussian,,,,,0.006575074756378085,0.019180840412095654,0.4032511272698583,1.0,0.987860957480069,0.0016029229649205188,0.6,True,0.09529,diagonal,rank_gauss,,,
rbig,,,,,0.0004610076035139743,0.02691583871594496,0.1807295817351095,1.0,0.8875374951388855,4.507648025081057e-05,13.8,,,,,50.0,300.0,pca
noise,0.02808,True,normal,0.0,0.00011220699214947727,0.02119491132938272,0.3320594700700372,1.0,1.0299385662551352,0.00015868465009088217,0.3,,,,,,,
noise,0.01046,False,normal,0.0,0.1170802282449829,0.4243598624328664,0.5329859921000297,1.0,1.456026189958827,0.001803216727096867,0.3,,,,,,,
gaussian,,,,,0.010929784681483867,0.018928421467915645,1.243968935379819,1.0,0.9912501723477298,0.0008529245861678976,0.6,True,0.89011,identity,rank_gauss,,,
rbig,,,,,0.0006016636230818939,0.024817232580869077,0.19269265066233746,1.0,0.9140032186161557,0.0006510000389266307,9.1,,,,,30.0,800.0,pca
noise,0.04379,True,student_t,4.0,0.00026087473279590156,0.02132079394618641,0.3315191391495931,1.0,1.0306182268005315,0.00036893258520042125,0.3,,,,,,,
gaussian,,,,,0.05199096358451277,0.22835628485984605,0.5273650104552232,1.0,0.9876225844666591,0.011324424713880454,0.3,True,0.35626,diagonal,gaussian,,,
rbig,,,,,0.0005874322576792101,0.025992335234212502,0.19303987288646685,1.0,0.9044100443026196,0.0003749234579718881,8.7,,,,,30.0,600.0,pca
noise,0.02478,False,student_t,8.0,0.2945415843598518,1.229890450480009,0.9740479702130462,1.0,2.464106307824631,0.0005676284084216418,0.3,,,,,,,
gaussian,,,,,0.011927202649985702,0.01897936273777784,1.2990296921247617,1.0,0.9916589884614687,0.0004203867751324427,0.6,False,0.94812,diagonal,rank_gauss,,,
rbig,,,,,0.0,0.026696945765564112,0.15662002791702903,1.0,0.9118393075687352,0.0,27.9,,,,,100.0,400.0,pca
noise,0.0871,True,normal,0.0,7.959125619050322e-05,0.02266725910423704,0.33104040943904284,1.0,1.0332942072637321,0.00011255903395092122,0.3,,,,,,,
gaussian,,,,,0.10689856198391826,0.3871347821657543,0.5691873516805229,1.0,1.1927843655701293,0.002795689773006893,0.3,True,0.32844,identity,gaussian,,,
noise,0.30586,True,normal,0.0,0.0035875305542547586,0.06466973559132527,0.33762818204659395,1.0,1.074520298390848,0.0007726057266865561,0.3,,,,,,,
gaussian,,,,,0.044168532377637015,0.22823785807665836,0.36364501820164086,1.0,0.9875555530758452,0.0009682848056065202,0.3,False,0.22125,diagonal,gaussian,,,
rbig,,,,,0.00047809135907778133,0.04367388201498131,0.3100827353761212,1.0,0.8619321912336804,0.0003163135464466351,4.3,,,,,15.0,200.0,random
noise,0.0062,False,student_t,4.0,0.031326301709585114,0.1737504010398589,0.34972841196748383,1.0,1.2096194268206215,0.005639144227057166,0.3,,,,,,,
gaussian,,,,,0.05553901270647521,0.26211618543342263,0.22172102966842205,1.0,1.0354138037164653,0.0046762973534594885,0.3,False,0.05806,identity,gaussian,,,
rbig,,,,,0.0007219961181831325,0.042301513617871246,0.1960614745033596,1.0,0.8705180302132989,0.0005007760658669855,15.8,,,,,60.0,100.0,random
noise,0.04749,True,student_t,5.0,0.00013904187798663425,0.02145835275626495,0.3318985092215588,1.0,1.0307542543997652,0.00019663490958652326,0.3,,,,,,,
gaussian,,,,,0.003319496730252114,0.019526997910610855,0.2869748701150576,1.0,0.9890366479842909,0.0006209603223772551,0.6,True,,diagonal,rank_gauss,,,
rbig,,,,,0.0005831114201573784,0.025000432133481985,0.17534135682267832,1.0,0.9175964683782842,0.00048325751707410804,12.1,,,,,40.0,1500.0,random
noise,0.00986,False,normal,0.0,0.10464023140350664,0.39055075847551013,0.5068881894003996,1.0,1.4188165151010805,0.003974770492329769,0.3,,,,,,,
gaussian,,,,,0.05088733623238351,0.22871757890808964,0.8372988752192251,1.0,0.987710787711177,0.00018722528393180887,0.3,True,0.59886,diagonal,gaussian,,,
rbig,,,,,5.6538316397014565e-05,0.033955339447068855,0.20616391213307417,1.0,0.9172819945915616,7.995725384239913e-05,5.9,,,,,20.0,600.0,random
noise,0.00655,False,student_t,4.0,0.02734362018792913,0.18852296186986356,0.35991377793820784,1.0,1.2272496489030997,3.3715555577341104e-06,0.3,,,,,,,
gaussian,,,,,0.012280621271117287,0.01895446661566945,1.2703277397507615,1.0,0.9913926714414933,0.0013592656023434027,0.6,True,0.91757,diagonal,rank_gauss,,,
rbig,,,,,0.00012491623498528392,0.04240891853691468,0.16420113369326128,1.0,0.8724382718071346,7.497209726407158e-05,16.4,,,,,60.0,100.0,pca
noise,0.03675,True,student_t,4.0,0.0,0.02122634428427473,0.33166915450804657,1.0,1.030318555120685,0.0,0.4,,,,,,,
gaussian,,,,,0.00968743253255211,0.018939338388010825,1.0761571688449583,1.0,0.9902722467708513,0.0016485819534229115,0.6,True,0.72255,diagonal,rank_gauss,,,
